Date,Currency CodeA,X
2022-01-04,AUD,1.3861900568008423
2022-01-04,EUR,0.8845999836921692
2022-01-04,BRL,5.660699844360352
2022-01-04,CAD,1.274399995803833
2022-01-04,CZK,21.944000244140625
2022-01-04,DKK,6.583499908447266
2022-01-04,HUF,323.5899963378906
2022-01-04,INR,74.50800323486328
2022-01-04,MXN,20.547000885009766
2022-01-04,NOK,8.86832046508789
2022-01-04,PHP,51.290000915527344
2022-01-04,PLN,4.051000118255615
2022-01-04,RUB,74.90879821777344
2022-01-04,SEK,9.08942985534668
2022-01-04,THB,33.29800033569336
2022-01-04,USD,1.0
